WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Freq,LogFreq,Modality,AnyPositive,AllEqual
spillover__n,0,0,0,0,0.073508316,spillover,n,3,0.477121255,Haptic,yes,no
stories__n,-0.103374061,-0.088775814,0,0,-0.104762923,stories,n,2215,3.345373731,Gustatory,no,no
forced__a,0.032528683,-0.018304463,0,0,-0.028777012,forced,a,1349,3.13001195,Visual,yes,no
knickers__n,0.027680334,1.45E-05,-0.037413033,0.055749671,-0.035561386,knickers,n,65,1.812913357,Olfactory,yes,no
visceral__a,-0.007452859,0,0.02533455,0,0,visceral,a,9,0.954242509,Gustatory,yes,no
straightaway__a,0,0.012975747,0.0745822,0,0.051785361,straightaway,a,51,1.707570176,Gustatory,yes,no
observe__v,0.131838923,-0.052847043,-0.065608879,-0.082638645,-0.054249181,observe,v,499,2.698100546,Visual,yes,no
guards__n,-0.023776844,0.012975747,0,0,0.038184947,guards,n,1237,3.0923697,Haptic,yes,no
thriving__a,-0.030749046,-0.060117883,0.01950846,0,-0.076878815,thriving,a,62,1.792391689,Gustatory,yes,no
restraint__n,0.047155329,-0.102942896,-0.043170972,0,-0.093908043,restraint,n,131,2.117271296,Visual,yes,no
imminent__a,0.028697013,-0.012434219,-0.048837319,0,-0.029733394,imminent,a,123,2.089905111,Visual,yes,no
devotee__n,-0.023540282,-0.005359473,-0.062192942,0,-0.037645796,devotee,n,7,0.84509804,Olfactory,no,no
rivet__v,-0.026611111,0,0.006176298,0,-0.027999974,rivet,v,17,1.230448921,Gustatory,no,no
desperation__n,-0.037174685,0.024209538,-0.07482982,0,0.029078687,desperation,n,154,2.187520721,Haptic,yes,no
healthy__a,0.006602295,-0.004485847,-0.007762798,0,0.012981744,healthy,a,1262,3.101059355,Haptic,yes,no
puritanical__a,0.036805779,0,0,0,-0.012442341,puritanical,a,13,1.113943352,Visual,yes,no
objectively__r,0.037292494,-0.000723183,0,0,0,objectively,r,51,1.707570176,Visual,yes,no
prodigiously__r,0,0.103905516,0,0,0,prodigiously,r,1,0,Auditory,yes,no
interviewer__n,-0.069937136,0.00380137,-0.037149726,0,0.001981288,interviewer,n,22,1.342422681,Auditory,no,no
find__v,-0.025080382,-0.010638477,-0.010283264,-0.064270887,-0.023225049,find,v,42379,4.627150705,Gustatory,no,no
noncombatant__n,0.063326045,0.052529479,0,0,0,noncombatant,n,1,0,Visual,yes,no
satrap__n,0.046551219,0,0.131572337,0,0,satrap,n,NA,NA,Gustatory,yes,no
ing__n,0.029212863,0.002807189,-0.054844288,0,-0.006101572,ing,n,83,1.919078092,Visual,yes,no
snap__v,-0.04107194,-0.057527418,-0.056490028,0,0.125715138,snap,v,887,2.94792362,Haptic,yes,no
